index,modelname,num_groups,group_id,mean,std,fast_gini,avg_rscore,min_rscore,max_rscore,fast_gini_min,fast_gini_mean,fast_gini_max
6561,bm25,10000,6561,0.3520013590725043,0.23790427497497302,0.2585571015351704,0.3520013590725043,0.21667906533553166,3.151262667452779,0.14495754789550494,0.2441684082821426,0.6615901062253292
6562,bm25,10000,6562,0.30381726498838924,0.15938390596514818,0.18783218610813562,0.30381726498838924,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6563,bm25,10000,6563,0.32102143074528455,0.19262570300805285,0.2208184026171889,0.32102143074528455,0.21667906533553166,2.0008056674402104,0.14495754789550494,0.2441684082821426,0.6615901062253292
6564,bm25,10000,6564,0.3570699365618354,0.18663595725321697,0.238711075668624,0.35706993656183544,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6565,bm25,10000,6565,0.31750272737525365,0.1743506353323555,0.2076923757762336,0.31750272737525365,0.21667906533553166,1.8597274323132096,0.14495754789550494,0.2441684082821426,0.6615901062253292
6566,bm25,10000,6566,0.31466788159511744,0.18434323446711265,0.20951200593798955,0.31466788159511744,0.21667906533553166,1.7496227173190984,0.14495754789550494,0.2441684082821426,0.6615901062253292
6567,bm25,10000,6567,0.3344071952007152,0.18470390586809438,0.2306793729242581,0.3344071952007152,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6568,bm25,10000,6568,0.3124977582737718,0.17256564127140403,0.20610944607473844,0.31249775827377185,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6569,bm25,10000,6569,0.4021790676008602,0.3931619543870894,0.33754935095239824,0.4021790676008602,0.21667906533553166,4.6045897646306315,0.14495754789550494,0.2441684082821426,0.6615901062253292
6570,bm25,10000,6570,0.38420498102551703,0.2628392472733131,0.2821354570553777,0.38420498102551703,0.21667906533553166,2.8853900817779268,0.14495754789550494,0.2441684082821426,0.6615901062253292
6571,bm25,10000,6571,0.30208116633131277,0.15723483598390545,0.18425672501427115,0.30208116633131277,0.21667906533553166,1.4426950408889634,0.14495754789550494,0.2441684082821426,0.6615901062253292
6572,bm25,10000,6572,0.452556054428933,0.3134601635462391,0.31232876264816245,0.452556054428933,0.21667906533553166,2.7347888836805154,0.14495754789550494,0.2441684082821426,0.6615901062253292
